Origin,Season,DayOfWeek,OriginState,OriginStateName,Dest,DestCityName,DestState,DestStateName,Reporting_Airline,cluster,DivertedFlights,TotalFlights,DepartureDelayedFlights,ArrivalDelayedFlights,TotalDepDelay_gt_15M,TotalArrDelay_gt_15M,TotalDepDelay,TotalArrDelay,TotalCarrierDelay,TotalWeatherDelay,TotalNASDelay,TotalSecurityDelay,TotalLateAircraftDelay
ABE,Spring,2,PA,Pennsylvania,ATL,"Atlanta, GA",GA,Georgia,9E,3,0,39,1.0,3.0,200.0,226.0,9.0,-453.0,182.0,0.0,44.0,0.0,0.0
ABE,Winter,4,PA,Pennsylvania,MCO,"Orlando, FL",FL,Florida,G4,2,0,4,0.0,0.0,0.0,0.0,-35.0,-56.0,0.0,0.0,0.0,0.0,0.0
ABQ,Winter,3,NM,New Mexico,BWI,"Baltimore, MD",MD,Maryland,WN,6,0,13,4.0,3.0,116.0,79.0,117.0,24.0,39.0,0.0,21.0,0.0,19.0
ABQ,Winter,7,NM,New Mexico,DEN,"Denver, CO",CO,Colorado,OO,2,0,9,1.0,2.0,32.0,50.0,-10.0,-17.0,31.0,0.0,19.0,0.0,0.0
ABQ,Fall,3,NM,New Mexico,PHX,"Phoenix, AZ",AZ,Arizona,AA,2,0,23,2.0,2.0,91.0,64.0,-71.0,-159.0,44.0,0.0,0.0,0.0,20.0
ABQ,Summer,2,NM,New Mexico,PHX,"Phoenix, AZ",AZ,Arizona,OO,6,0,9,2.0,2.0,69.0,75.0,17.0,-2.0,0.0,0.0,37.0,0.0,38.0
ABQ,Fall,7,NM,New Mexico,SLC,"Salt Lake City, UT",UT,Utah,DL,2,0,11,0.0,0.0,0.0,0.0,-75.0,-145.0,0.0,0.0,0.0,0.0,0.0
ACK,Summer,3,MA,Massachusetts,LGA,"New York, NY",NY,New York,B6,5,0,13,4.0,4.0,208.0,212.0,144.0,115.0,10.0,0.0,180.0,0.0,22.0
ACY,Spring,2,NJ,New Jersey,FLL,"Fort Lauderdale, FL",FL,Florida,NK,2,0,22,5.0,2.0,182.0,103.0,90.0,-128.0,0.0,0.0,68.0,0.0,35.0
ACY,Summer,6,NJ,New Jersey,FLL,"Fort Lauderdale, FL",FL,Florida,NK,5,0,24,6.0,6.0,500.0,414.0,465.0,203.0,1.0,0.0,247.0,0.0,166.0
AGS,Spring,5,GA,Georgia,DFW,"Dallas/Fort Worth, TX",TX,Texas,MQ,3,1,8,2.0,1.0,290.0,218.0,266.0,163.0,0.0,0.0,0.0,0.0,218.0
AGS,Summer,6,GA,Georgia,DFW,"Dallas/Fort Worth, TX",TX,Texas,OH,5,0,13,5.0,3.0,220.0,135.0,178.0,-17.0,8.0,15.0,0.0,0.0,112.0
AGS,Spring,5,GA,Georgia,LGA,"New York, NY",NY,New York,9E,0,0,1,0.0,1.0,0.0,34.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0
ALB,Winter,3,NY,New York,ATL,"Atlanta, GA",GA,Georgia,DL,2,0,33,6.0,2.0,155.0,50.0,44.0,-582.0,16.0,0.0,0.0,0.0,34.0
ALB,Winter,3,NY,New York,BWI,"Baltimore, MD",MD,Maryland,WN,2,0,61,4.0,2.0,100.0,67.0,-51.0,-566.0,11.0,0.0,5.0,0.0,51.0
ALB,Winter,7,NY,New York,DCA,"Washington, DC",VA,Virginia,YX,3,0,18,3.0,4.0,916.0,909.0,826.0,727.0,248.0,1.0,28.0,0.0,632.0
ALB,Summer,5,NY,New York,DTW,"Detroit, MI",MI,Michigan,DL,6,0,18,5.0,5.0,634.0,590.0,558.0,430.0,589.0,0.0,1.0,0.0,0.0
ALB,Spring,1,NY,New York,FLL,"Fort Lauderdale, FL",FL,Florida,B6,5,0,13,4.0,4.0,564.0,480.0,527.0,370.0,264.0,0.0,18.0,0.0,198.0
ALB,Winter,5,NY,New York,FLL,"Fort Lauderdale, FL",FL,Florida,B6,5,0,14,2.0,6.0,132.0,302.0,85.0,182.0,14.0,6.0,172.0,0.0,110.0
ALB,Fall,2,NY,New York,LGA,"New York, NY",NY,New York,9E,2,0,26,0.0,0.0,0.0,0.0,-211.0,-483.0,0.0,0.0,0.0,0.0,0.0
