Origin,Dest,Reporting_Airline,TotalFlights,DelayedFlights,CancelledFlights,AvgDepDelay,AvgArrDelay
OGG,HNL,HA,7622,2655,95,2.6930535263647233,2.833732057416268
HNL,OGG,HA,7614,3090,81,3.5439946914399467,3.733669676048858
LIH,HNL,HA,6446,2252,105,2.5964358933922096,2.002208550244518
HNL,LIH,HA,6446,2220,101,2.680837663360101,3.7392401072047927
SEA,ANC,AS,5928,3237,71,10.95732331853875,7.755210112743423
ANC,SEA,AS,5926,2023,83,4.778918548939083,1.0335731414868106
KOA,HNL,HA,5855,2105,59,3.096774193548387,3.340811044003451
HNL,KOA,HA,5853,2250,53,3.4821643977253145,4.340348456097982
ATL,MCO,DL,5461,2323,55,14.338512763596004,15.416944753429737
MCO,ATL,DL,5459,2173,61,16.80455724342349,14.042647876877433
LAX,DFW,AA,4918,2068,67,21.753861997940266,15.459627329192546
DFW,LAX,AA,4911,2683,66,22.090608875129,15.728474086310138
ORD,LGA,UA,4644,1663,99,13.370386643233743,7.79973474801061
LGA,ORD,UA,4642,1066,111,9.998677248677248,3.9249834034078335
ATL,LGA,DL,4638,1915,39,12.574565217391305,3.4042785418031
LGA,ATL,DL,4635,1600,42,11.761645624727906,-0.6834532374100719
HNL,ITO,HA,4604,1939,51,4.088054457619675,4.5441758241758246
ITO,HNL,HA,4603,1797,52,3.901999560536146,3.98242144583608
PHX,DEN,WN,4459,2289,55,11.135331516802907,3.433477370934728
DEN,PHX,WN,4424,2527,47,13.78419730532085,7.461133973479653
DFW,PHX,AA,4366,2298,56,24.61841800046393,18.566713156671316
PHX,DFW,AA,4365,1539,59,13.25301764159703,8.463221601489758
TPA,ATL,DL,4335,1718,78,14.232323232323232,11.145916686279124
ATL,TPA,DL,4335,1739,74,13.519709056780854,12.766627497062279
BOS,LGA,YX,4229,805,118,4.8278370514064015,-1.0888077858880778
LGA,BOS,YX,4227,880,93,6.022200772200772,-1.0711519845111326
ORD,EWR,UA,4195,1890,85,20.50838396111786,9.234417012955268
DFW,MIA,AA,4193,2448,72,23.886060606060607,17.3673568818514
EWR,ORD,UA,4191,1526,85,14.061800486618004,8.966333252012687
FLL,ATL,DL,4188,1821,35,16.13480982185845,12.516417189763398
MIA,DFW,AA,4187,2071,68,22.91314895681708,17.920917744691238
ATL,FLL,DL,4187,1773,35,13.93232177263969,11.198504582730342
DFW,SAT,AA,4143,2117,98,27.682884662879722,23.44694533762058
SAT,DFW,AA,4142,1428,100,20.7625401531999,19.937066402378594
