Reporting_Airline,Origin,Dest,origin_windy,dest_windy,origin_rain,dest_rain,total_flights,total_delayed_flights,total_weather_delayed_flights,total_dep_delay,total_arr_delay,total_weather_delay
WN,MCO,DCA,0,0,0,0,219,58,2,1282.0,-924.0,220.0
DL,MCO,DCA,0,0,0,0,193,33,2,301.0,-1080.0,61.0
OO,SLC,EUG,0,0,0,0,24,6,1,542.0,378.0,7.0
AS,SEA,SFO,0,0,0,0,380,203,4,4126.0,3682.0,220.0
DL,SJU,ATL,1,0,1,0,14,3,1,164.0,152.0,194.0
UA,MIA,ORD,0,1,0,0,25,11,0,284.0,317.0,0.0
WN,HOU,JAN,0,0,1,0,25,13,2,1012.0,902.0,104.0
WN,MCO,MDW,0,0,0,0,527,135,3,1737.0,-2170.0,82.0
G4,PIE,MEM,1,1,0,0,1,1,0,48.0,35.0,0.0
AS,SAT,SEA,0,0,0,1,14,4,1,-17.0,-65.0,9.0
DL,AUS,ATL,0,0,0,0,967,223,7,5571.0,-1163.0,283.0
OO,SLC,DEN,0,0,0,0,50,20,1,1386.0,1171.0,12.0
DL,AUS,JFK,0,0,1,0,21,5,1,59.0,-155.0,3.0
AA,EGE,MIA,0,1,0,0,14,11,0,170.0,361.0,0.0
AA,DFW,MTJ,0,0,1,0,15,7,1,618.0,462.0,2.0
DL,SEA,PDX,1,0,1,0,3,1,0,-7.0,-6.0,
AA,DFW,RNO,0,0,0,0,117,60,4,1967.0,1291.0,159.0
DL,TPA,ATL,1,0,1,0,18,16,1,1659.0,1617.0,13.0
WN,CLT,BWI,0,1,1,1,3,3,0,192.0,207.0,0.0
WN,BWI,CHS,1,1,1,0,7,6,0,383.0,366.0,0.0
UA,MCO,DEN,1,0,0,0,12,6,0,116.0,123.0,0.0
UA,RSW,DEN,0,1,0,0,36,13,0,-186.0,-189.0,0.0
UA,PHL,DEN,1,1,0,0,5,1,0,4.0,-48.0,
WN,BWI,FLL,0,0,0,1,25,13,1,112.0,121.0,46.0
9E,DTW,MSN,0,0,1,0,6,3,0,-1.0,42.0,0.0
9E,DCA,RDU,1,0,0,0,2,0,0,-11.0,-47.0,
DL,SLC,SAN,0,1,1,1,2,2,0,64.0,42.0,0.0
AS,JFK,SAN,1,1,1,1,2,2,0,35.0,21.0,
OO,SGF,ATL,1,0,1,0,5,4,1,185.0,181.0,29.0
UA,ATL,EWR,1,0,1,0,5,3,0,89.0,102.0,0.0
AA,OGG,LAX,1,0,1,0,3,1,0,-5.0,-39.0,
AA,CLT,MCO,1,1,1,0,15,13,8,846.0,1011.0,453.0
DL,SEA,JFK,0,1,0,0,98,27,0,617.0,-439.0,0.0
YX,GRR,LGA,0,0,1,0,17,8,1,-3.0,68.0,18.0
WN,HOU,MCO,0,0,0,0,359,87,1,1806.0,-1601.0,54.0
HA,OGG,SEA,0,1,0,0,18,10,0,159.0,161.0,0.0
UA,MSY,EWR,1,0,1,0,10,4,0,28.0,-59.0,0.0
OH,CLT,GPT,0,0,0,1,12,7,0,1335.0,1414.0,0.0
WN,MCO,STL,0,1,0,1,11,4,0,74.0,43.0,0.0
AA,PHL,BOS,1,1,0,1,5,2,0,64.0,25.0,0.0
YX,LGA,IAD,0,0,1,1,20,8,0,3.0,-83.0,0.0
WN,SAN,AUS,0,1,0,0,42,24,0,1388.0,1417.0,0.0
WN,HOU,SMF,1,0,0,0,1,1,0,4.0,39.0,0.0
NK,MCO,FLL,0,0,0,0,130,33,0,754.0,-69.0,0.0
DL,ATL,RDU,0,0,1,0,121,59,2,1910.0,1620.0,76.0
WN,TPA,IND,0,0,1,0,23,6,0,415.0,253.0,0.0
G4,TYS,PIE,0,0,0,0,57,15,1,746.0,832.0,16.0
UA,IAH,TPA,0,0,1,0,50,25,2,1140.0,1159.0,138.0
OH,DCA,PWM,0,0,1,0,18,7,1,163.0,144.0,19.0
UA,SFO,SBA,0,0,1,1,8,2,0,24.0,-84.0,
AA,DFW,SMF,0,1,1,1,4,2,0,97.0,36.0,0.0
MQ,DFW,TLH,0,0,1,0,26,18,4,803.0,956.0,117.0
DL,SAN,ATL,0,0,0,1,15,8,0,52.0,92.0,0.0
WN,RSW,ORD,0,0,0,1,4,2,0,49.0,30.0,0.0
OO,LWS,SLC,0,0,1,0,9,3,1,6.0,-40.0,47.0
UA,LAX,OGG,0,1,0,0,77,20,0,619.0,-307.0,0.0
YX,PIT,ORD,0,0,1,0,34,4,1,-107.0,-456.0,46.0
UA,IAH,PDX,0,1,1,1,2,0,0,11.0,-30.0,
OO,IAH,TUS,0,0,1,0,6,3,0,246.0,230.0,0.0
WN,BNA,BOS,0,0,0,1,4,1,0,-2.0,-16.0,0.0
AA,SRQ,CLT,0,0,0,1,27,9,1,816.0,879.0,22.0
YX,JFK,CMH,0,0,1,0,52,19,0,130.0,80.0,0.0
OO,TYR,DFW,0,0,1,0,22,10,3,971.0,838.0,475.0
G4,PIE,LCK,0,0,0,1,4,1,1,-27.0,31.0,68.0
OH,DCA,MHT,0,0,1,1,8,2,0,209.0,188.0,0.0
OO,SUX,ORD,0,0,0,0,120,45,3,2826.0,2634.0,769.0
WN,BWI,ORF,0,1,1,0,17,10,0,234.0,169.0,0.0
DL,SFO,SLC,0,0,0,1,24,8,0,230.0,-82.0,0.0
WN,MSY,DEN,0,0,0,1,11,4,0,70.0,-30.0,0.0
NK,MEM,LAS,0,1,0,0,10,2,0,133.0,15.0,0.0
UA,IAH,MCI,0,0,0,0,27,10,0,173.0,86.0,0.0
G4,AZA,MOT,0,0,0,0,4,2,0,-33.0,59.0,0.0
DL,MCO,RDU,0,0,0,1,20,6,0,144.0,239.0,0.0
AA,DFW,TPA,0,0,1,1,2,2,0,294.0,314.0,0.0
MQ,DFW,ELP,1,0,0,0,12,2,1,-9.0,-76.0,3.0
WN,AUS,MIA,0,1,0,0,46,20,0,423.0,291.0,0.0
B6,BOS,RIC,0,0,0,0,99,30,1,336.0,-155.0,30.0
AA,PWM,CLT,0,0,0,0,175,41,3,1370.0,-80.0,118.0
NK,ACY,PBI,1,1,1,0,8,5,0,200.0,210.0,0.0
G4,FLL,SYR,0,0,0,1,6,2,0,-19.0,21.0,0.0
NK,ACY,TPA,1,0,1,0,6,2,0,-55.0,-57.0,
F9,CVG,TPA,1,0,1,0,8,4,0,186.0,125.0,0.0
AA,ORD,TPA,0,1,0,0,7,3,0,73.0,69.0,0.0
DL,CVG,MSP,0,1,0,0,17,4,1,12.0,-180.0,56.0
OH,DCA,GRR,0,1,1,0,9,6,1,387.0,324.0,30.0
9E,LGA,GSO,0,0,1,0,41,13,0,575.0,118.0,0.0
DL,PDX,ATL,0,0,0,0,82,15,0,187.0,-686.0,0.0
OO,ORD,OMA,0,0,0,0,39,11,1,411.0,203.0,13.0
WN,DEN,ORD,0,0,1,0,11,9,1,582.0,572.0,22.0
G4,LAS,FAT,0,1,1,1,1,1,0,106.0,104.0,0.0
WN,MCI,LAS,1,0,0,1,1,0,0,-2.0,-5.0,
UA,DEN,LAS,0,0,0,1,4,4,0,208.0,211.0,0.0
WN,BUF,RSW,0,0,0,1,1,1,0,0.0,7.0,
MQ,DFW,XNA,1,0,0,1,7,5,1,245.0,172.0,151.0
G4,FLL,CID,0,0,0,0,7,1,0,29.0,-99.0,0.0
OO,DFW,IDA,1,0,0,1,1,1,0,-9.0,6.0,
B6,BQN,JFK,1,0,0,0,60,24,0,454.0,188.0,0.0
B6,PBI,JFK,1,1,0,0,7,3,0,2.0,-34.0,0.0
WN,SJC,LAS,0,0,0,1,2,1,0,96.0,81.0,0.0
OO,STS,PDX,0,0,0,1,17,10,0,306.0,311.0,0.0
OO,BZN,SLC,0,0,1,1,3,1,0,-24.0,-13.0,
DL,SLC,MCI,0,1,0,0,13,3,0,-29.0,-101.0,
OO,FAR,MSP,0,1,1,1,2,1,0,6.0,79.0,0.0
YX,BOS,CVG,0,1,0,0,18,1,0,-104.0,-233.0,
9E,ATL,EVV,0,0,0,1,6,1,0,-33.0,-5.0,0.0
AA,BOS,PHX,0,0,0,1,5,3,0,-4.0,-20.0,
MQ,BOI,PHX,0,0,0,1,2,2,0,15.0,36.0,0.0
MQ,DFW,AMA,0,1,0,1,3,2,1,71.0,65.0,13.0
WN,SRQ,CMH,0,0,0,0,30,6,1,157.0,45.0,36.0
AA,DFW,GRR,1,1,1,0,5,1,1,19.0,-44.0,19.0
OO,SEA,PDX,1,1,1,1,18,5,1,146.0,-6.0,33.0
WN,ATL,TPA,0,1,1,0,12,6,0,237.0,234.0,0.0
WN,ISP,BWI,1,1,1,0,7,3,1,439.0,349.0,221.0
OO,ABY,ATL,0,1,0,0,3,2,0,273.0,240.0,0.0
WN,MSY,MDW,0,1,1,0,13,6,0,367.0,223.0,0.0
AA,MSY,PHL,1,0,0,0,4,1,0,0.0,-46.0,0.0
